Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.5-34.199.20.76-52014-443-6,192.168.10.5,52014,34.199.20.76,443,6,7/7/2017 10:17,299,3,0,58,0.0,46,6,19.33333333,23.09401077,0,0,0.0,0.0,193979.9331,10033.44482,149.5,3.535533906,152.0,147.0,299.0,149.5,3.535533906,152.0,147.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,10033.44482,0.0,6,46,16.0,20.0,400.0,0,0,0,0,1,0,0,0,0,21.33333333,19.33333333,0.0,60,0,0,0,0,0,0,3,58,0,0,252,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
162.208.20.178-192.168.10.5-443-52639-6,162.208.20.178,443,192.168.10.5,52639,6,7/7/2017 10:23,234,2,1,280,6.0,274,6,140.0,189.5046174,6,6,6.0,0.0,1222222.222,12820.51282,117.0,7.071067812,122.0,112.0,234.0,234.0,0.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,8547.008547,4273.504274,6,274,140.0,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,186.6666667,140.0,6.0,40,0,0,0,0,0,0,2,280,1,6,60,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.14-104.20.85.120-51135-80-6,192.168.10.14,51135,104.20.85.120,80,6,7/7/2017 10:09,3,2,0,12,0.0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,254,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.8-205.174.165.73-2922-8080-6,192.168.10.8,2922,205.174.165.73,8080,6,7/7/2017 10:44,86728,4,3,210,134.0,198,0,52.5,97.04122835,128,0,44.66666667,72.23111056,3966.423762,80.71211143,14454.66667,34588.27373,85056.0,18.0,86728.0,28909.33333,49542.40059,86115.0,18.0,85620.0,42810.0,59744.86616,85056.0,564.0,0,0,0,0,92,72,46.12120653,34.5909049,0,198,43.0,76.44232186,5843.428571,0,0,0,1,0,0,0,0,0,49.14285714,52.5,44.66666667,92,0,0,0,0,0,0,4,210,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.3-192.168.10.15-53-55318-17,192.168.10.15,55318,192.168.10.3,53,17,7/7/2017 9:25,191,2,2,82,204.0,41,41,41.0,0.0,102,102,102.0,0.0,1497382.199,20942.40838,63.66666667,27.15388247,95.0,47.0,47.0,47.0,0.0,47.0,47.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,64,64,10471.20419,10471.20419,41,102,65.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,81.75,41.0,102.0,64,0,0,0,0,0,0,2,82,2,204,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.15-63.251.98.12-50511-443-6,192.168.10.15,50511,63.251.98.12,443,6,7/7/2017 9:43,3209,2,0,12,0.0,6,6,6.0,0.0,0,0,0.0,0.0,3739.482705,623.2471175,3209.0,0.0,3209.0,3209.0,3209.0,3209.0,0.0,3209.0,3209.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,623.2471175,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.8-205.174.165.73-4974-8080-6,192.168.10.8,4974,205.174.165.73,8080,6,7/7/2017 12:54,996514,3,3,0,18.0,0,0,0.0,0.0,6,6,6.0,0.0,18.0629675,6.020989168,199302.8,272087.4888,498440.0,400.0,996114.0,498057.0,1610.789248,499196.0,496918.0,995873.0,497936.5,1277.741954,498840.0,497033.0,0,0,0,0,92,60,3.010494584,3.010494584,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.15-205.174.165.73-52852-8080-6,192.168.10.15,52852,205.174.165.73,8080,6,7/7/2017 10:42,4,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,256,237,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
162.208.20.178-192.168.10.5-443-51314-6,192.168.10.5,51314,162.208.20.178,443,6,7/7/2017 10:05,1890,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,6349.206349,1058.201058,1890.0,0.0,1890.0,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,529.1005291,529.1005291,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,0,60,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
178.255.83.1-192.168.10.16-80-53322-6,192.168.10.16,53322,178.255.83.1,80,6,7/7/2017 9:55,3691,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,541.8585749,3691.0,0.0,3691.0,3691.0,3691.0,3691.0,0.0,3691.0,3691.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,541.8585749,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,242,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
